Epoch,Training loss,Test loss,MAE,MAPE
0,0.0015673303976655006,0.0014075186848640441,0.3466061019897461,7.693998413085938
20,0.0009045643545687198,0.0009650102630257607,0.28137161254882814,4.7430799865722655
40,0.0007894589519128203,0.0008441710099577903,0.2621365165710449,4.633983764648438
60,0.0006944129802286625,0.0007555682584643364,0.24503636360168457,4.388603210449219
80,0.0006297201802954078,0.0006891768798232079,0.23080211639404297,4.211721649169922
100,0.0005703865922987461,0.0006063536740839482,0.21260071754455567,3.9341384887695314
120,0.0005167840560898185,0.0005667216703295708,0.20288036346435548,3.792381591796875
140,0.0005127733713015914,0.0005235425941646099,0.19048815727233886,3.5659580993652344
160,0.0004559593042358756,0.0004900789260864258,0.18136194229125976,3.4217431640625
180,0.00041535868775099515,0.0004502269811928272,0.17044515609741212,3.25783935546875
200,0.0004004047624766827,0.00042390970513224603,0.16299572467803955,3.1113751220703123
220,0.0003735043131746352,0.0003982522897422314,0.15698559284210206,2.987230072021484
240,0.0003403584100306034,0.00037020711228251456,0.14915483951568603,2.824079742431641
260,0.0003261119965463877,0.0003410148248076439,0.14240306377410888,2.7153270721435545
280,0.0003084646002389491,0.0003234716318547726,0.13724769115448,2.5834944152832033
300,0.0002933034673333168,0.0002922606375068426,0.13176583766937255,2.4902914428710936
320,0.0002748470241203904,0.00027240518480539324,0.1269895315170288,2.354732131958008
340,0.0002674328349530697,0.00025798771530389787,0.12291131019592286,2.2697760009765626
360,0.00024156113853678106,0.00024064546450972558,0.11790095329284668,2.164132385253906
380,0.00024212258169427513,0.00022967470809817314,0.11499717712402344,2.0998169708251955
400,0.0002405452774837613,0.0002268045488744974,0.11313820838928222,2.0085276794433593
420,0.0002109553595073521,0.0002161219622939825,0.11017096042633057,1.9531104278564453
440,0.00021025080932304263,0.00020938128232955933,0.10848745346069336,1.8824822998046875
460,0.00021257765823975205,0.00020656428299844264,0.10560855865478516,1.7922505950927734
480,0.0002012641867622733,0.00020457638427615166,0.10484848499298095,1.7617485809326172
500,0.00020654360065236688,0.00020163226407021284,0.10252902507781983,1.6929598236083985
520,0.000197458186885342,0.00020240474957972766,0.10231024265289307,1.6394445037841796
540,0.00019973051035776735,0.00019791418220847844,0.10000483036041259,1.599089584350586
560,0.00018625548109412192,0.00019740441348403692,0.0991585111618042,1.5593936157226562
580,0.00018497095559723674,0.0001982329087331891,0.09846337795257569,1.5189524841308595
600,0.00018328583682887257,0.00019965173210948706,0.09841852664947509,1.4793276977539063
620,0.00019709068001247943,0.0001983405789360404,0.0969852590560913,1.4681385040283204
640,0.00018594164168462158,0.0001978294597938657,0.09591773986816406,1.3884949111938476
660,0.00019051651004701854,0.00019642523489892482,0.09567214488983154,1.3804644393920897
680,0.00019611218944191931,0.00019572966732084752,0.0948855972290039,1.3444833374023437
700,0.00018435116857290268,0.00019634663593024016,0.09430581569671631,1.3482122421264648
720,0.0001982254022732377,0.00019832070916891097,0.0950898790359497,1.3160004425048828
740,0.000180510989157483,0.0001973882643505931,0.09489962577819824,1.3027522659301758
760,0.00019944419153034688,0.0001971210492774844,0.09393620014190673,1.2678960037231446
780,0.00017383474973030387,0.00020015942864120005,0.09437750816345215,1.2593287277221679
800,0.0001848816778510809,0.00019617571495473386,0.09311663627624511,1.2315602493286133
820,0.00018400706117972733,0.00019603130407631398,0.09246469974517822,1.2252963638305665
840,0.00019092550384812058,0.00019841783214360475,0.09339560031890869,1.2208541870117187
860,0.00018129180651158095,0.00020186052192002534,0.09348084926605224,1.223849983215332
880,0.00017809341312386096,0.00019693620968610047,0.09177075386047363,1.1961347961425781
900,0.00018110277131199836,0.00019965889398008586,0.0934416675567627,1.183995018005371
920,0.0001916913001332432,0.0001962385093793273,0.09156840324401855,1.2033404541015624
940,0.00017566117807291448,0.00020471765659749508,0.09424919605255128,1.187815933227539
960,0.0001925456593744457,0.00020245615392923356,0.09310276508331299,1.174924430847168
980,0.00019637390389107168,0.00020192681811749934,0.09152051448822021,1.18072021484375
1000,0.00017779359361156822,0.0002101768646389246,0.09338200092315674,1.176171531677246
