Epoch,Training loss,Test loss,MAE,MAPE
0,0.17061497829854488,0.13833679258823395,0.3385879898071289,9.77532440185547
10,0.1020363848656416,0.06356764957308769,0.22242940902709962,6.492726440429688
20,0.08269946556538343,0.043138107284903526,0.16990169525146484,4.305224609375
30,0.08170030917972326,0.042231978848576546,0.1640369987487793,3.9027723693847656
40,0.0807016734033823,0.04208613373339176,0.16323347091674806,3.84554931640625
50,0.08179250732064247,0.04196459986269474,0.16318086624145509,3.8581716918945315
60,0.08026390755549073,0.04182274639606476,0.16288869857788085,3.8499310302734373
70,0.07854083832353354,0.04171309061348438,0.1629280662536621,3.866102752685547
80,0.07749614538624883,0.04165712743997574,0.16311333656311036,3.875197296142578
90,0.07507376652210951,0.041820427402853966,0.16369493007659913,3.885362396240234
100,0.0715624033473432,0.04241110384464264,0.16442055702209474,3.8155166625976564
110,0.06679764529690146,0.043948203325271606,0.16536036968231202,3.6122366333007814
120,0.06436273036524653,0.04567061737179756,0.16424925804138182,3.2803431701660157
130,0.06365764467045665,0.04682231321930885,0.16351455211639404,3.0695651245117186
140,0.05972054833546281,0.04754643514752388,0.16356705665588378,2.986664276123047
150,0.060685175471007824,0.04798677936196327,0.16318262577056886,2.9119161987304687
160,0.05934801371768117,0.04819151200354099,0.16296120166778563,2.8785079956054687
170,0.0602479581721127,0.04848126694560051,0.1628717613220215,2.845262298583984
180,0.057964439038187265,0.04850984364748001,0.1625007963180542,2.8209237670898437
190,0.057493791449815035,0.04863845556974411,0.16249720096588136,2.8130201721191406
200,0.05697534652426839,0.04866407997906208,0.1623840570449829,2.80933837890625
210,0.05777924507856369,0.04861665144562721,0.1619734001159668,2.790940399169922
220,0.05820029880851507,0.04865019582211971,0.16174812316894532,2.7755697631835936
230,0.057949766516685486,0.048585157841444016,0.16133288860321046,2.756449737548828
240,0.05901374155655503,0.0486922524869442,0.16160521507263184,2.7701737976074217
250,0.05718162236735225,0.04862440377473831,0.16126619338989256,2.757032470703125
260,0.05796575639396906,0.048662569373846054,0.16139694690704345,2.7651344299316407
270,0.0571325165219605,0.04867655970156193,0.16127589702606202,2.7580142211914063
280,0.05691971583291888,0.04863751120865345,0.1610713481903076,2.750825958251953
290,0.05811791494488716,0.04860486835241318,0.16088038444519043,2.7434925842285156
300,0.05665548564866185,0.04858989454805851,0.16072081565856933,2.7360185241699218
