Test,x0(m),y0(m),d(m),SNR(dB),direction_theta(rad),R_Tar(Mbps),V_Tar(m/s),UE_num,V_Cond,Connected UE_num for target AP,R_targetAP,SNR_Connected_targetAP,Ideal_Thr(Target),UTI_Thr_List(per10ms),UTI(3%),UTI(5%),Runtime
1,9.44031108286755,4.745069739693373,1.2110710870891137,14.594544934847022,0.07602859292610745,50.0,4.655195134159314,50,"(0.1,)",4,"[50.0, 115.27296690582034, 56.16828418168198, 102.33872150138738]","[14.594544934847022, 17.79572668036729, 17.52541539811949, 15.88966683992814]",24.487197462904355,"[25.836061933888832, 25.836061933888832, 27.079684995503737, 28.166050081720346, 28.197457338456186, 28.166050081720346, 27.079684995503737, 27.079684995503737, 25.836061933888832, 24.611772862478098, 23.054146545406347]",0.11000000000000001,0.11000000000000001,2.4487388134002686
2,9.362663295711345,4.659227124785086,1.0963805353784974,15.432281125832812,3.129701153350539,50.0,6.297463855647907,50,"(0.1,)",3,"[50.0, 115.27296690582034, 102.33872150138738]","[15.432281125832812, 17.32387042144808, 17.915416998896966]",34.44808257851844,[30.738862060541795],0.01,0.01,0.5563788414001465
3,9.906950295973383,5.468769266299263,1.3960141283781804,15.178659236575538,1.399700068782466,50.0,6.77348200523991,50,"(0.1,)",2,"[50.0, 103.51536543574676]","[15.178659236575538, 20.369161417441223]",50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 49.16896786737327, 44.73911474137809]",0.07,0.07,1.682248830795288
4,9.57236262841866,4.909120607469852,1.421211059371874,12.866165084468992,0.01665261906770871,50.0,0.16330148513941756,50,"(0.1,)",2,"[50.0, 56.16828418168198]","[12.866165084468992, 18.460364387276122]",43.46753278199971,"[43.46753278199971, 43.46753278199971, 43.11621706333037, 43.46753278199971, 43.11621706333037, 40.41720697944761]",0.060000000000000005,0.060000000000000005,1.7201848030090332
5,9.821279500175647,5.236151604511451,1.4749672323584988,13.900273837656991,1.4371387476198594,50.0,11.086934092391125,50,"(0.1,)",4,"[50.0, 130.1888546168583, 40.67478865203127, 103.51536543574676]","[13.900273837656991, 17.31855170969065, 20.770417974439823, 16.724733690931338]",23.37587210277374,"[25.426867687279547, 27.54400877769684, 27.876025213274982, 27.876025213274982, 28.846593907022257, 28.846593907022257, 28.846593907022257, 28.846593907022257, 28.846593907022257, 29.15063945890578, 28.846593907022257, 27.876025213274982, 27.876025213274982, 25.426867687279547, 24.282541432890138, 24.282541432890138, 24.584483933686634, 24.584483933686634, 24.584483933686634, 23.37587210277374, 23.37587210277374, 23.37587210277374, 23.638340222139, 22.369557370689044, 21.268348795947357]",0.24,0.25,6.1705193519592285
6,9.80053428268654,5.749953939973007,1.1634725356656435,17.287016682188277,0.5765536028174661,50.0,4.887602662694173,50,"(0.1,)",3,"[50.0, 32.086006140954154, 103.51536543574676]","[17.287016682188277, 20.644066557131318, 20.860216876391362]",38.46212520936301,"[38.46212520936301, 37.168033617699976, 35.354012499063245]",0.019999999999999997,0.03,0.9218316078186035
7,9.882087931139141,5.337393881794999,1.949728806729566,8.940386897789448,0.06770918311627859,50.0,5.684530085125999,50,"(0.1,)",2,"[50.0, 25.03942866167775]","[8.940386897789448, 15.526706229658434]",31.432292185165636,"[34.18721560095221, 34.53738161049801, 34.53738161049801, 37.30954601420916, 40.41720697944761, 43.46753278199971, 48.65245530231547, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 48.263272069472336, 48.263272069472336, 45.30754080792619, 42.711949935025125, 39.61975849845275, 42.25959382826909, 42.711949935025125, 45.30754080792619, 48.263272069472336, 48.263272069472336, 48.263272069472336, 48.263272069472336, 45.73659062304693, 48.263272069472336, 48.263272069472336, 48.263272069472336, 50.0, 48.263272069472336, 48.263272069472336, 50.0, 48.263272069472336, 45.73659062304693, 45.30754080792619, 45.30754080792619, 45.73659062304693, 45.73659062304693, 48.263272069472336, 48.263272069472336, 48.263272069472336, 48.263272069472336, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 45.73659062304693, 42.711949935025125, 36.92299587318229, 36.92299587318229, 33.80502497028069, 33.80502497028069, 33.80502497028069, 33.80502497028069, 33.80502497028069, 31.092073585059627, 28.38328430358942]",0.95,0.95,20.594264268875122
8,9.35975763182313,4.48889265987262,0.958001426084632,16.819493040453025,0.16369078161928516,50.0,2.048553718366215,50,"(0.1,)",3,"[50.0, 43.12042296978449, 25.03942866167775]","[16.819493040453025, 17.97974397198805, 17.03893510333319]",37.44676017333582,"[37.44676017333582, 37.44676017333582, 35.99436771411819, 37.44676017333582, 38.90027820077146, 40.15849850418022, 41.26714049508746, 42.254287239443556, 42.254287239443556, 42.254287239443556, 42.254287239443556, 41.26714049508746, 41.26714049508746, 40.13653525103329, 40.13653525103329, 40.13653525103329, 40.13653525103329, 38.798220272107656, 38.798220272107656, 38.798220272107656, 37.27673397440001, 37.27673397440001, 37.27673397440001, 38.798220272107656, 38.798220272107656, 40.04244717508436, 38.798220272107656, 38.798220272107656, 40.04244717508436, 38.798220272107656, 37.27673397440001, 35.597946474145346, 35.597946474145346, 32.17551471298155]",0.03,0.34,7.779151439666748
9,9.106861283690595,4.0359529929297455,0.457295407764804,19.025697270206766,0.5170409715923804,50.0,1.1359552449468762,50,"(0.1,)",4,"[50.0, 115.27296690582034, 43.12042296978449, 25.03942866167775]","[19.025697270206766, 16.30728807109399, 18.06610126432968, 17.411519812455076]",31.69071542958267,"[31.69071542958267, 30.9503553713156, 30.94344519536527, 30.102401438274967]",0.04,0.04,1.480123519897461
10,9.362726027005769,4.3412329911134515,0.8514632311211286,17.44156328302435,3.062170087638363,50.0,2.263775185719808,50,"(0.1,)",3,"[50.0, 115.27296690582034, 40.134863490555986]","[17.44156328302435, 19.495753102453392, 16.819493040453025]",38.798220272107656,"[37.27673397440001, 37.27673397440001, 37.27673397440001, 38.798220272107656, 38.798220272107656, 40.04244717508436, 38.798220272107656, 38.798220272107656, 40.04244717508436, 38.798220272107656, 37.27673397440001, 35.597946474145346]",0.01,0.12000000000000001,2.737637758255005
