Test,x0(m),y0(m),d(m),SNR(dB),direction_theta(rad),R_Tar(Mbps),V_Tar(m/s),UE_num,V_Cond,Connected UE_num for target AP,R_targetAP,SNR_Connected_targetAP,Ideal_Thr(Target),UTI_Thr_List(per10ms),UTI(3%),UTI(5%),Runtime
15,8.085886062351967,3.5950715971689187,0.6819458425580176,16.992876246331686,0.9468122019167499,50.0,5.360435981407888,50,"(0.1,)",3,"[50.0, 77.94809772460106, 200.31990737906145]","[16.992876246331686, 15.43692725808623, 20.44645991834158]",37.823065151392115,"[38.896331233135015, 38.68424055082052, 38.68424055082052, 38.34331280608676, 39.329396798166584, 38.82962374655676, 38.82962374655676, 38.200549837433385, 38.200549837433385, 38.241198019044205, 38.241198019044205, 37.32750678252534, 37.32750678252534, 36.292948019349026, 36.92956392928134, 36.92956392928134, 35.74574647608625]",0.13999999999999999,0.16999999999999998,3.467525005340576
16,8.292059684333577,4.089879819318377,0.5702873173169437,17.166666832918512,1.8144846155974907,50.0,5.360435981407888,50,"(0.1,)",3,"[50.0, 200.31990737906145, 72.43341854910167]","[17.166666832918512, 19.15402739416968, 16.28773094124076]",38.200549837433385,"[38.241198019044205, 37.32750678252534, 37.32750678252534, 36.292948019349026, 36.92956392928134, 35.74574647608625]",0.04,0.060000000000000005,1.4036030769348145
17,8.498233306315186,4.584688041467836,0.8718317467369465,15.433912711281831,2.45384420633951,50.0,5.360435981407888,50,"(0.1,)",3,"[50.0, 200.31990737906145, 72.43341854910167]","[15.433912711281831, 16.271795195336566, 19.23553388307832]",34.45159537712941,"[33.506036347355845, 31.981529813974152]",0.019999999999999997,0.019999999999999997,0.6921494007110596
18,8.704406928296795,5.079496263617295,1.1713913628985007,12.822031082211966,0.3558652121373911,50.0,5.360435981407888,50,"(0.1,)",3,"[50.0, 127.79441517724679, 200.31990737906145]","[12.822031082211966, 21.04172557028019, 10.10131696937634]",28.885442104926582,"[30.649269001901587, 32.34228796524654, 32.34228796524654, 34.15958614836673, 34.15958614836673, 35.702840375721166, 35.702840375721166, 37.150768042696654, 37.31493415678251, 38.678344975503265, 38.678344975503265, 39.93486506535915, 39.93486506535915, 41.21404001190186, 41.07932734275503, 41.07932734275503, 39.734418788946, 39.734418788946, 39.734418788946, 37.88216418151641, 37.88216418151641, 37.88216418151641, 36.17111865186004, 35.673742004938305, 35.673742004938305, 33.77443906331014, 33.13471473462894, 33.13471473462894, 31.07390880754797, 31.07390880754797, 30.30015375666695, 30.30015375666695, 28.11005995418427, 27.213622775626767]",0.34,0.34,6.69827127456665
19,8.910580550278404,5.574304485766754,0.6945146082571958,16.758720868208574,0.6281211012306295,50.0,5.360435981407888,50,"(0.1,)",3,"[50.0, 127.79441517724679, 49.07831282475457]","[16.758720868208574, 20.68108284339296, 10.847962924449586]",37.31493415678251,"[38.678344975503265, 39.93486506535915, 39.93486506535915, 41.21404001190186, 41.07932734275503, 41.07932734275503, 39.734418788946, 39.734418788946, 39.448106062992366, 37.88216418151641, 37.88216418151641, 37.444463034424714, 37.444463034424714, 35.673742004938305, 35.673742004938305, 35.673742004938305, 33.13471473462894]",0.13999999999999999,0.16999999999999998,3.4923222064971924
20,8.746688771353917,5.7117518667493,0.5382583182664338,17.740127314289428,2.0758229212502406,50.0,6.516576751178602,50,"(0.1,)",3,"[50.0, 127.79441517724679, 49.07831282475457]","[17.740127314289428, 19.64696462116788, 12.948269293325183]",39.448106062992366,"[37.88216418151641, 37.444463034424714]",0.01,0.019999999999999997,0.7627153396606445
21,8.174454187863507,5.399974210401749,1.026546065624912,13.856128056441253,2.6648567134628665,50.0,6.516576751178602,50,"(0.1,)",4,"[50.0, 127.79441517724679, 10.0, 49.07831282475457]","[13.856128056441253, 18.434273478921817, 19.43285027512507, 14.33736821827101]",23.305431605660978,"[22.725115317500215, 22.725115317500215, 21.082544965638203]",0.03,0.03,0.920534610748291
36,2.524938256945258,1.1941960961464124,1.226332071659884,20.344751187934772,0.3218292427734367,50.0,5.053358314333025,50,"(0.1,)",1,[50.0],[20.344751187934772],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.23647426339693, 49.23647426339693, 42.93960826201554]",0.61,0.61,11.584540367126465
37,3.011106181392583,1.0563372851513684,0.7638516363134878,21.548804286455706,0.5326411621296306,50.0,5.053358314333025,50,"(0.1,)",1,[50.0],[21.548804286455706],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.23647426339693, 49.23647426339693, 42.93960826201554]",0.51,0.51,9.899959802627563
38,3.497274105839908,0.9184784741563243,0.4168655654725357,21.981191408886794,1.1957649588278085,50.0,8.338557408600929,50,"(0.1,)",1,[50.0],[21.981191408886794],50.0,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 49.23647426339693, 49.23647426339693, 42.93960826201554]",0.41000000000000003,0.41000000000000003,7.831494569778442
