Test,x0(m),y0(m),d(m),SNR(dB),direction_theta(rad),R_Tar(Mbps),V_Tar(m/s),UE_num,V_Cond,Connected UE_num for target AP,R_targetAP,SNR_Connected_targetAP,Ideal_Thr(Target),UTI_Thr_List(per10ms),UTI(3%),UTI(5%),Runtime
8,6.775187565415613,2.354149222302162,1.491382369637927,17.595575193265667,2.342041105126719,50.0,1.853008853838005,50,"(0.1,)",5,"[50.0, 127.79441517724679, 167.53789828859982, 151.5723835813006, 337.7122247300471]","[17.595575193265667, 19.15253809327008, 15.001637901354199, 18.88874064303766, 19.21174328039078]",23.480017969115035,"[23.68517759875508, 23.68517759875508, 23.68517759875508, 23.68517759875508, 23.68517759875508, 23.68517759875508, 23.28471343404162, 23.28471343404162, 23.28471343404162, 23.28471343404162, 23.28471343404162, 23.28471343404162, 23.28471343404162, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 22.938851786686726, 22.938851786686726, 22.938851786686726, 22.938851786686726, 22.938851786686726, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.03166958666772, 23.03166958666772, 23.03166958666772, 23.03166958666772, 22.465291677550287, 22.465291677550287, 22.474042919676453, 22.474042919676453, 22.474042919676453, 23.023484924949358, 23.023484924949358, 23.479456438235903, 23.479456438235903, 23.940449779990715, 23.940449779990715, 24.361328730297473, 24.23350520742489, 24.593498876323398, 24.593498876323398, 24.90752615278762, 24.90752615278762, 24.962810483730614, 24.962810483730614, 25.160309196041144, 25.160309196041144, 25.304395603532722, 25.03621095960499, 25.11076130992805, 25.11076130992805, 25.12875276263434, 24.810752782878126, 24.810752782878126, 24.75976618053053, 24.75976618053053, 24.650731777591815, 24.29319947740211, 24.118156592236428, 24.118156592236428, 23.88531010035993, 23.88531010035993, 23.20611829803038, 23.20611829803038, 22.856517653096404, 22.856517653096404, 22.451625420369794, 22.05172830819063]",0.34,0.75,14.213146209716797
9,6.945028812332457,2.280052198274527,1.625980193535523,17.445992501023092,2.4238484538805367,50.0,1.853008853838005,50,"(0.1,)",5,"[50.0, 127.79441517724679, 167.53789828859982, 151.5723835813006, 337.7122247300471]","[17.445992501023092, 19.38441996255564, 15.001637901354199, 18.115761237223925, 18.749334437465123]",23.28471343404162,"[23.28471343404162, 23.28471343404162, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.41539517931421, 23.504492940097546, 22.938851786686726, 22.938851786686726, 22.938851786686726, 22.938851786686726, 22.938851786686726, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.004014932338265, 23.03166958666772, 23.03166958666772, 23.03166958666772, 23.03166958666772, 22.465291677550287, 22.465291677550287, 22.474042919676453, 22.474042919676453, 22.474042919676453, 23.023484924949358, 23.023484924949358, 23.479456438235903, 23.479456438235903, 23.940449779990715, 23.940449779990715, 24.361328730297473, 24.23350520742489, 24.593498876323398, 24.593498876323398, 24.90752615278762, 24.90752615278762, 24.962810483730614, 24.962810483730614, 25.160309196041144, 25.160309196041144, 25.304395603532722, 25.03621095960499, 25.11076130992805, 25.11076130992805, 25.12875276263434, 24.810752782878126, 24.810752782878126, 24.75976618053053, 24.75976618053053, 24.650731777591815, 24.29319947740211, 24.118156592236428, 24.118156592236428, 24.118156592236428, 23.88531010035993, 23.20611829803038, 23.20611829803038, 22.856517653096404, 22.856517653096404, 22.451625420369794, 22.05172830819063]",0.24,0.65,12.410597324371338
11,7.2847113061661455,2.131858150219257,1.9206797060207348,17.230846492563543,2.551094549572136,50.0,1.853008853838005,50,"(0.1,)",5,"[50.0, 127.79441517724679, 72.2534441528233, 151.5723835813006, 337.7122247300471]","[17.230846492563543, 18.981547100520803, 18.638500863980354, 16.54755086080251, 17.16227538121356]",23.004014932338265,"[23.03166958666772, 23.03166958666772, 23.03166958666772, 22.465291677550287, 22.465291677550287, 22.474042919676453, 22.474042919676453, 22.474042919676453, 23.023484924949358, 23.023484924949358, 23.479456438235903, 23.479456438235903, 23.479456438235903, 23.940449779990715, 24.361328730297473, 24.361328730297473, 24.593498876323398, 24.593498876323398, 24.593498876323398, 24.90752615278762, 24.962810483730614, 24.962810483730614, 25.160309196041144, 25.160309196041144, 25.304395603532722, 25.03621095960499, 25.11076130992805, 25.11076130992805, 25.12875276263434, 24.810752782878126, 24.810752782878126, 24.75976618053053, 24.75976618053053, 24.650731777591815, 24.29319947740211, 24.118156592236428, 24.118156592236428, 23.88531010035993, 23.88531010035993, 23.20611829803038, 23.20611829803038, 22.856517653096404, 22.856517653096404, 22.451625420369794, 22.05172830819063, 21.595733293304946]",0.45,0.46,8.910844087600708
50,7.4613948313024485,7.1449063186217865,1.5060991854507744,19.856390066576758,2.763134833171794,50.0,6.183004844765104,50,"(0.1,)",5,"[50.0, 205.17500428981913, 138.12192830793862, 77.94809772460106, 151.5723835813006]","[19.856390066576758, 15.749653853120105, 16.54864088744739, 19.93749739371651, 17.591531558421572]",26.443941801502184,"[26.127280201989677, 25.94214789356985, 25.94214789356985, 25.549351834793132, 25.549351834793132, 25.294867735353964, 25.117811916357745]",0.04,0.07,1.619063138961792
106,8.14750180780135,8.03928641312731,2.608075723366058,17.05804909565313,0.4950110835459427,50.0,3.149638243576993,50,"(0.1,)",8,"[50.0, 161.44342687687723, 131.92170335557316, 77.89084248546789, 200.31990737906145, 106.05314386753462, 74.84128603204543, 457.5125364313861]","[17.05804909565313, 15.179865600974393, 17.57100559631324, 19.435263298165466, 19.72237285614409, 12.101190844938563, 12.676232264211526, 19.141743167270285]",14.236721564145538,"[14.360138151770661, 14.360138151770661, 14.360138151770661, 14.696400573589191, 14.696400573589191, 14.696400573589191, 14.696400573589191, 14.798819690085338, 14.798819690085338, 14.798819690085338, 14.883481835927546, 14.883481835927546, 14.883481835927546, 14.949141330200174, 14.949141330200174, 14.949141330200174, 15.250734726940923, 15.250734726940923, 15.250734726940923, 15.250734726940923, 15.285860820078465, 15.285860820078465, 15.285860820078465, 15.29818412520129, 15.29818412520129, 15.29818412520129, 15.286477122342259, 15.286477122342259, 15.55741367112015, 15.55741367112015, 15.531222063469816, 15.531222063469816, 15.531222063469816, 15.478407102864145, 15.478407102864145, 15.478407102864145, 15.39788046098656, 15.39788046098656, 15.39788046098656, 15.288662460092105, 15.580828958498966, 15.580828958498966, 15.580828958498966, 15.451375619952163, 15.451375619952163, 15.451375619952163, 15.291088034729523, 15.291088034729523, 15.291088034729523, 15.09931552222626, 15.09931552222626, 15.09931552222626, 15.09931552222626, 15.181063648336387, 15.181063648336387, 15.181063648336387, 14.932335305292614, 14.932335305292614, 14.932335305292614, 14.650581886569206, 14.650581886569206, 14.650581886569206, 14.650581886569206, 14.335866079419453, 14.335866079419453, 14.639025853509825, 14.297116146584665, 14.297116146584665, 14.297116146584665, 13.922281745603682, 13.922281745603682, 13.922281745603682, 13.515250941570162]",0.73,0.73,14.45381474494934
107,7.8432085665419,7.957997828579153,2.335716189722886,17.7472040376925,0.5591127810480583,50.0,3.149638243576907,50,"(0.1,)",7,"[50.0, 131.92170335557316, 77.89084248546789, 200.31990737906145, 106.05314386753462, 74.84128603204543, 457.5125364313861]","[17.7472040376925, 17.317865036966914, 19.16929568358115, 19.945701257264318, 10.44117321709513, 14.430915021785314, 19.332792404373002]",16.912936788668958,"[17.00969352677434, 17.00969352677434, 17.00969352677434, 17.084732948800198, 17.084732948800198, 17.084732948800198, 17.42941111650391, 17.42941111650391, 17.42941111650391, 17.42941111650391, 17.469555222946816, 17.469555222946816, 17.469555222946816, 17.483639000230045, 17.483639000230045, 17.483639000230045, 17.470259568391153, 17.470259568391153, 17.470259568391153, 17.779901338423027, 17.74996807253693, 17.74996807253693, 17.74996807253693, 17.689608117559022, 17.689608117559022, 17.689608117559022, 17.597577669698925, 17.597577669698925, 17.597577669698925, 17.47275709724812, 17.80666166685596, 17.80666166685596, 17.80666166685596, 17.658714994231044, 17.658714994231044, 17.658714994231044, 17.475529182548026, 17.475529182548026, 17.475529182548026, 17.25636059683001, 17.25636059683001, 17.25636059683001, 17.25636059683001, 17.349787026670157, 17.349787026670157, 17.349787026670157, 17.06552606319156, 17.06552606319156, 17.06552606319156, 16.74352215607909, 16.74352215607909, 16.74352215607909, 16.74352215607909, 16.383846947907944, 16.383846947907944, 16.730315261154086, 16.339561310382475, 16.339561310382475, 16.339561310382475, 15.911179137832779]",0.54,0.6,11.764479637145996
108,7.538915325282455,7.8767092440309945,2.075448308285192,18.299947238007228,0.6396970897593388,50.0,3.149638243576907,50,"(0.1,)",8,"[50.0, 131.92170335557316, 205.17500428981913, 77.89084248546789, 200.31990737906145, 106.05314386753462, 74.84128603204543, 457.5125364313861]","[18.299947238007228, 16.610756554902693, 15.593635008489954, 18.82689080110429, 19.68913883068358, 9.705027504603835, 15.048894690465826, 19.72237285614409]",15.250734726940923,"[15.285860820078465, 15.285860820078465, 15.285860820078465, 15.29818412520129, 15.29818412520129, 15.29818412520129, 15.286477122342259, 15.286477122342259, 15.55741367112015, 15.55741367112015, 15.531222063469816, 15.531222063469816, 15.531222063469816, 15.478407102864145, 15.478407102864145, 15.478407102864145, 15.39788046098656, 15.39788046098656, 15.39788046098656, 15.288662460092105, 15.580828958498966, 15.580828958498966, 15.580828958498966, 15.451375619952163, 15.451375619952163, 15.451375619952163, 15.291088034729523, 15.291088034729523, 15.291088034729523, 15.09931552222626, 15.09931552222626, 15.09931552222626, 15.09931552222626, 15.181063648336387, 15.181063648336387, 15.181063648336387, 14.932335305292614, 14.932335305292614, 14.932335305292614, 14.650581886569206, 14.650581886569206, 14.650581886569206, 14.650581886569206, 14.335866079419453]",0.4,0.44,8.4056556224823
109,7.234622084023009,7.795420659482836,1.832431625764568,18.67445864551931,0.7424839584812589,50.0,3.149638243576907,50,"(0.1,)",7,"[50.0, 131.92170335557316, 205.17500428981913, 77.89084248546789, 200.31990737906145, 74.84128603204543, 457.5125364313861]","[18.67445864551931, 16.259401189807786, 19.31549094508569, 18.44779318624453, 18.568721845349994, 15.997577706373443, 19.928214200251148]",17.779901338423027,"[17.74996807253693, 17.74996807253693, 17.74996807253693, 17.689608117559022, 17.689608117559022, 17.689608117559022, 17.597577669698925, 17.597577669698925, 17.597577669698925, 17.47275709724812, 17.80666166685596, 17.80666166685596, 17.80666166685596, 17.658714994231044, 17.658714994231044, 17.658714994231044, 17.475529182548026, 17.475529182548026, 17.475529182548026, 17.25636059683001, 17.25636059683001, 17.25636059683001, 17.25636059683001, 17.349787026670157, 17.349787026670157, 17.349787026670157, 17.06552606319156, 17.06552606319156, 17.06552606319156, 16.74352215607909]",0.27,0.3,6.080327033996582
111,6.6260356015041175,7.63284349038652,1.4330592773862976,18.349252108666363,1.0442439058466002,50.0,3.149638243576907,50,"(0.1,)",11,"[50.0, 131.92170335557316, 205.17500428981913, 76.86648058544534, 77.89084248546789, 77.94809772460106, 200.31990737906145, 167.53789828859982, 151.5723835813006, 74.84128603204543, 457.5125364313861]","[18.349252108666363, 15.394856138334596, 19.02580315919208, 16.578331559559143, 17.534004983820687, 13.123115768097035, 17.767687889198, 16.35721758365782, 15.355785804308583, 17.35149964117377, 20.093695080419806]",11.120791297985107,"[10.981320379800916, 10.981320379800916, 10.981320379800916, 11.040773562426464, 11.040773562426464, 11.040773562426464, 10.859880222030993, 10.859880222030993, 10.859880222030993, 10.654968644777606, 10.654968644777606, 10.654968644777606, 10.654968644777606, 10.426084421395966]",0.1,0.13999999999999999,3.0496277809143066
175,8.039548662388942,2.4348336864527207,2.220843724206544,17.565022171396866,0.8178020781056311,50.0,3.735907478738852,50,"(0.1,)",4,"[50.0, 444.41575317375015, 56.909804863822025, 151.12916651759576]","[17.565022171396866, 16.90588414600668, 19.79151663407318, 19.137703705473808]",29.300145692067254,"[29.595478710938828, 29.595478710938828, 29.861009352108535, 29.861009352108535, 29.401988761682723, 29.612724927699816, 29.612724927699816, 29.612724927699816, 29.788114094557272, 29.788114094557272, 29.925562224988393, 29.925562224988393, 29.925562224988393, 30.02229777859561, 30.02229777859561, 30.02229777859561, 30.07576720745256, 30.07576720745256, 30.07576720745256, 29.44196237258617, 29.44196237258617, 29.44196237258617, 29.38061617512193, 29.38061617512193, 29.26924397414276, 29.26924397414276, 29.26924397414276, 29.105891792552026, 29.105891792552026, 29.105891792552026, 28.88853494080788, 28.88853494080788, 28.615637202966845, 27.83846740830988, 27.83846740830988, 27.49414855940799]",0.34,0.36,7.12373161315918
